strategy,ts_iso,ticker,sport,side,entry,contracts,pnl_usd,won,edge_pp,reason
Dip Buy,2025-03-01T00:25:24.382Z,KXBTCD-25FEB2820-T83999.99,Crypto,yes,0.8600,1,-0.8600,0,4.8573387974723214,"Dip buy: 6.4% below mean, edge=4.9pp"
Dip Buy,2025-03-01T00:28:55.334Z,KXBTCD-25FEB2820-T83999.99,Crypto,yes,0.8600,1,-0.8600,0,4.810765470880196,"Dip buy: 6.0% below mean, edge=4.8pp"
Dip Buy,2025-03-01T13:17:03.268Z,KXBTCD-25MAR0117-T85749.99,Crypto,yes,0.1300,1,0.8600,1,12.915885429638854,"Dip buy: 67.1% below mean, edge=12.9pp"
Dip Buy,2025-03-01T15:45:41.299Z,KXBTCD-25MAR0111-T84749.99,Crypto,yes,0.1300,1,0.8600,1,7.2055253901411955,"Dip buy: 47.7% below mean, edge=7.2pp"
Dip Buy,2025-03-01T18:41:24.153Z,KXHIGHMIA-25MAR01-B80.5,Other,yes,0.1300,1,0.8600,1,6.660363636363639,"Dip buy: 52.0% below mean, edge=6.7pp"
Dip Buy,2025-03-02T16:30:56.688Z,KXBTCD-25MAR0212-T89499.99,Crypto,yes,0.1300,1,0.8600,1,5.254895672593091,"Dip buy: 64.6% below mean, edge=5.3pp"
Dip Buy,2025-03-02T19:22:33.769Z,KXBTCD-25MAR0215-T93499.99,Crypto,yes,0.1300,1,0.8600,1,7.849789473684213,"Dip buy: 52.6% below mean, edge=7.8pp"
Dip Buy,2025-03-02T19:36:34.807Z,KXHIGHNY-25MAR02-B33.5,Other,yes,0.1300,1,0.8600,1,7.519221987315011,"Dip buy: 25.6% below mean, edge=7.5pp"
Dip Buy,2025-03-02T19:56:40.912Z,KXHIGHNY-25MAR02-B33.5,Other,yes,0.1300,1,0.8600,1,10.49596617336152,"Dip buy: 50.4% below mean, edge=10.5pp"
Dip Buy,2025-03-03T00:50:16.882Z,KXOSCARMENTION-25MAR-DRAKE,Other,yes,0.1300,1,0.8600,1,4.755978609625669,"Dip buy: 64.7% below mean, edge=4.8pp"
Dip Buy,2025-03-03T02:22:18.359Z,KXBTCD-25MAR0222-T93249.99,Crypto,yes,0.1300,1,0.8600,1,5.147365351629504,"Dip buy: 43.4% below mean, edge=5.1pp"
Dip Buy,2025-03-03T23:43:33.801Z,KXBTC-25MAR0319-B86125,Crypto,yes,0.1300,1,0.8600,1,4.824462620474082,"Dip buy: 45.0% below mean, edge=4.8pp"
Dip Buy,2025-03-04T13:47:49.265Z,KXBTC-25MAR0409-T82750,Crypto,yes,0.1300,1,0.8600,1,11.449140366482832,"Dip buy: 69.5% below mean, edge=11.4pp"
Dip Buy,2025-03-04T16:45:37.767Z,KXETHD-25MAR0417-T2139.99,Crypto,yes,0.1300,1,0.8600,1,5.29050821467689,"Dip buy: 65.3% below mean, edge=5.3pp"
Dip Buy,2025-03-04T17:00:31.192Z,KXETHD-25MAR0417-T2139.99,Crypto,yes,0.1300,1,0.8600,1,4.518805194805198,"Dip buy: 58.4% below mean, edge=4.5pp"
Dip Buy,2025-03-04T18:26:38.910Z,KXBTCD-25MAR0414-T86249.99,Crypto,yes,0.1300,1,0.8600,1,6.685870605367173,"Dip buy: 56.1% below mean, edge=6.7pp"
Dip Buy,2025-03-04T19:24:00.871Z,KXINX-25MAR04H1600-B5787,Other,yes,0.1300,1,0.8600,1,7.707197339246119,"Dip buy: 34.1% below mean, edge=7.7pp"
Dip Buy,2025-03-05T00:42:14.868Z,KXBTCD-25MAR0420-T86749.99,Crypto,yes,0.1300,1,0.8600,1,5.854471113672383,"Dip buy: 69.6% below mean, edge=5.9pp"
Dip Buy,2025-03-05T16:19:26.934Z,KXBTCD-25MAR0512-T88749.99,Crypto,yes,0.1300,1,0.8600,1,8.625896633978266,"Dip buy: 47.5% below mean, edge=8.6pp"
Dip Buy,2025-03-05T16:27:34.606Z,KXETHD-25MAR0512-T2189.99,Crypto,yes,0.1300,1,0.8600,1,5.597090909090907,"Dip buy: 50.0% below mean, edge=5.6pp"
Dip Buy,2025-03-06T02:20:24.900Z,KXHIGHPHIL-25MAR06-B57.5,Other,yes,0.1300,1,0.8600,1,9.632886498117266,"Dip buy: 43.2% below mean, edge=9.6pp"
Dip Buy,2025-03-06T02:48:03.200Z,KXBTCD-25MAR0522-T91749.99,Crypto,yes,0.1300,1,0.8600,1,6.483324675324672,"Dip buy: 23.8% below mean, edge=6.5pp"
Dip Buy,2025-03-06T13:00:45.380Z,KXHIGHDEN-25MAR06-B53.5,Other,yes,0.1300,1,0.8600,1,6.308973082783137,"Dip buy: 46.4% below mean, edge=6.3pp"
Dip Buy,2025-03-07T01:29:51.505Z,KXBTCD-25MAR0621-T87999.99,Crypto,yes,0.1300,1,0.8600,1,4.998288688410827,"Dip buy: 26.7% below mean, edge=5.0pp"
Market Maker,2025-03-05T03:38:07.779Z,KXDJTJOINTSESSION-25MAR04-AI,Other,yes,0.2700,1,-0.1150,0,4.0446756568239985,MM quote zone spread=2.0¢
Market Maker,2025-03-07T20:49:02.994Z,KXINXU-25MAR07H1600-T5764.9999,Other,yes,0.5500,1,-0.0755,0,4.67633343204027,MM quote zone spread=2.0¢
Market Maker,2025-03-05T03:07:15.041Z,KXDJTJOINTSESSION-25MAR04-MC,Other,yes,0.4000,1,-0.0688,0,4.176839826839829,MM quote zone spread=2.0¢
Market Maker,2025-03-01T06:06:51.991Z,KXHIGHCHI-25MAR01-B34.5,Other,yes,0.1500,1,-0.0491,0,4.436926358557644,MM quote zone spread=2.0¢
Market Maker,2025-03-06T16:53:31.674Z,KXBTCD-25MAR0612-T90249.99,Crypto,yes,0.1600,1,-0.0468,0,7.588131078224106,MM quote zone spread=2.0¢
Market Maker,2025-03-05T03:07:20.593Z,KXDJTJOINTSESSION-25MAR04-IVANKA,Other,yes,0.3600,1,-0.0424,0,12.401999999999994,MM quote zone spread=2.0¢
Market Maker,2025-03-02T21:30:08.154Z,KXPGATOUR-CCITPB25-JHIG,Other,yes,0.5900,1,-0.0402,0,4.876112806901123,MM quote zone spread=2.0¢
Market Maker,2025-03-01T13:06:25.413Z,KXHIGHCHI-25MAR01-B34.5,Other,yes,0.3300,1,-0.0358,0,9.962068965517243,MM quote zone spread=2.0¢
Market Maker,2025-03-05T03:50:10.287Z,KXDJTJOINTSESSION-25MAR04-TIK,Other,yes,0.1600,1,-0.0336,0,8.22187878787879,MM quote zone spread=2.0¢
Market Maker,2025-03-05T01:42:11.433Z,KXDJTJOINTSESSION-25MAR04-B,Other,yes,0.7800,1,-0.0293,0,4.671477985429206,MM quote zone spread=2.0¢
Market Maker,2025-03-05T03:29:11.694Z,KXDJTJOINTSESSION-25MAR04-H,Other,yes,0.5500,1,-0.0293,0,12.646111317254183,MM quote zone spread=2.0¢
Market Maker,2025-03-02T21:16:55.696Z,KXPGATOUR-CCITPB25-JHIG,Other,yes,0.3900,1,-0.0226,0,10.29509090909091,MM quote zone spread=2.0¢
Market Maker,2025-03-07T18:41:56.379Z,KXBTCD-25MAR0714-T88499.99,Crypto,yes,0.4000,1,-0.0226,0,4.60346222791293,MM quote zone spread=2.0¢
Market Maker,2025-03-03T05:17:57.239Z,KXGROK3TOPLLMCHANGE-25-APR,Other,yes,0.4400,1,-0.0204,0,4.75526790024135,MM quote zone spread=2.0¢
Market Maker,2025-03-03T23:37:08.918Z,KXGROK3TOPLLMCHANGE-25-APR,Other,yes,0.3300,1,-0.0204,0,7.005570990806947,MM quote zone spread=2.0¢
Market Maker,2025-03-03T23:49:34.548Z,KXBTCD-25MAR0319-T86249.99,Crypto,yes,0.8600,1,-0.0204,0,5.747858717360755,MM quote zone spread=2.0¢
Market Maker,2025-03-05T03:38:59.033Z,KXDJTJOINTSESSION-25MAR04-C,Other,yes,0.3000,1,-0.0204,0,4.289425742574254,MM quote zone spread=2.0¢
Market Maker,2025-03-05T02:44:44.426Z,KXDJTJOINTSESSION-25MAR04-IVANKA,Other,yes,0.1500,1,-0.0182,0,10.999999999999998,MM quote zone spread=2.0¢
Market Maker,2025-03-07T13:08:53.019Z,KXRTMICKEY17-80,Other,yes,0.1500,1,-0.0182,0,4.429893687707639,MM quote zone spread=2.0¢
Market Maker,2025-03-05T21:45:00.069Z,KXBTCD-25MAR0517-T89999.99,Crypto,yes,0.6600,1,-0.0182,0,4.035694083694086,MM quote zone spread=2.0¢
Market Maker,2025-03-04T02:49:17.855Z,KXBTCD-25MAR0322-T83749.99,Crypto,yes,0.5400,1,-0.0161,0,4.6273488372093,MM quote zone spread=2.0¢
Market Maker,2025-03-05T01:56:52.986Z,KXDJTJOINTSESSION-25MAR04-IVANKA,Other,yes,0.2500,1,-0.0160,0,5.439213675213672,MM quote zone spread=2.0¢
Market Maker,2025-03-03T21:43:27.717Z,KXBTC-25MAR0317-B86000,Crypto,yes,0.3700,1,-0.0160,0,4.942292490118577,MM quote zone spread=2.0¢
Market Maker,2025-03-05T22:48:52.622Z,KXSPACEXSTARSHIP-8-25MAR06,Other,yes,0.6600,1,-0.0095,0,4.82818339009693,MM quote zone spread=2.0¢
Market Maker,2025-03-05T00:00:43.951Z,KXDJTJOINTSESSION-25MAR04-TIK,Other,yes,0.2900,1,-0.0072,0,4.4200107419932415,MM quote zone spread=2.0¢
Market Maker,2025-03-05T02:00:17.884Z,KXDJTJOINTSESSION-25MAR04-TIK,Other,yes,0.3300,1,-0.0051,0,4.405240641711227,MM quote zone spread=2.0¢
Market Maker,2025-03-07T17:43:20.912Z,KXINXU-25MAR07H1600-T5764.9999,Other,yes,0.1900,1,-0.0050,0,5.536539325842696,MM quote zone spread=2.0¢
Market Maker,2025-03-03T14:44:31.118Z,KXETH-25MAR0310-B2350,Crypto,yes,0.1700,1,-0.0050,0,7.851107344632771,MM quote zone spread=2.0¢
Market Maker,2025-03-06T21:57:15.309Z,KXHIGHAUS-25MAR06-T76,Other,yes,0.1700,1,-0.0050,0,13,MM quote zone spread=2.0¢
Market Maker,2025-03-05T21:23:20.200Z,KXBTCD-25MAR0517-T89999.99,Crypto,yes,0.5600,1,-0.0050,0,4.107952833777095,MM quote zone spread=2.0¢
Market Maker,2025-03-01T05:42:40.364Z,KXGROK3TOPLLMCHANGE-25-APR,Other,yes,0.3300,1,0.0038,1,5.349689578713973,MM quote zone spread=2.0¢
Market Maker,2025-03-01T05:52:06.096Z,KXHIGHCHI-25MAR01-B34.5,Other,yes,0.3900,1,0.0038,1,10.549143843498276,MM quote zone spread=2.0¢
Market Maker,2025-03-01T13:50:20.965Z,KXOSCARSPLAY-25-TS,Other,yes,0.2100,1,0.0038,1,4.074695652173912,MM quote zone spread=2.0¢
Market Maker,2025-03-01T18:09:20.845Z,KXBTC-25MAR0114-B85125,Crypto,yes,0.5600,1,0.0038,1,6.9707815468114,MM quote zone spread=2.0¢
Market Maker,2025-03-01T22:01:47.807Z,KXPGATOUR-CCITPB25-RHEN,Other,yes,0.1600,1,0.0038,1,12,MM quote zone spread=2.0¢
Market Maker,2025-03-01T22:34:05.099Z,KXPGATOUR-CCITPB25-JKNA,Other,yes,0.2000,1,0.0038,1,4.1285400540054,MM quote zone spread=2.0¢
Market Maker,2025-03-01T22:42:59.317Z,KXOSCARPIC-25-C,Other,yes,0.2200,1,0.0038,1,4.095491712707186,MM quote zone spread=2.0¢
Market Maker,2025-03-02T00:16:21.088Z,KXOSCARGUESTS-25-KKAR,Other,yes,0.4400,1,0.0038,1,4.7017229437229355,MM quote zone spread=2.0¢
Market Maker,2025-03-02T02:32:05.688Z,KXBTCD-25MAR0122-T85999.99,Crypto,yes,0.2600,1,0.0038,1,4.383518716577544,MM quote zone spread=2.0¢
Market Maker,2025-03-02T04:26:03.416Z,KXRTNOVOCAINE-75,Other,yes,0.3400,1,0.0038,1,8.965034965034963,MM quote zone spread=2.0¢
Market Maker,2025-03-02T07:36:49.252Z,KXOSCARSCORE-25-TB,Other,yes,0.8300,1,0.0038,1,4.082759325780605,MM quote zone spread=2.0¢
Market Maker,2025-03-02T16:24:47.201Z,KXSHIBA-25MAR0217-B0.0000137,Other,yes,0.2600,1,0.0038,1,6.044791154791157,MM quote zone spread=2.0¢
Market Maker,2025-03-02T18:34:47.499Z,KXBTCD-25MAR0214-T93749.99,Crypto,yes,0.1500,1,0.0038,1,5.338859504132232,MM quote zone spread=2.0¢
Market Maker,2025-03-02T18:55:16.962Z,KXOSCARSVIEWER-25-19500000,Other,yes,0.6000,1,0.0038,1,4.004027930444176,MM quote zone spread=2.0¢
Market Maker,2025-03-02T19:33:34.768Z,KXCANADAPM-45-L,Other,yes,0.3900,1,0.0038,1,4.6350122850122855,MM quote zone spread=2.0¢
Market Maker,2025-03-02T20:10:17.269Z,KXHIGHAUS-25MAR02-B78.5,Other,yes,0.8400,1,0.0038,1,4.384463841184816,MM quote zone spread=2.0¢
Market Maker,2025-03-02T21:10:48.560Z,KXBTCD-25MAR0217-T93249.99,Crypto,yes,0.8200,1,0.0038,1,4.007393939393933,MM quote zone spread=2.0¢
Market Maker,2025-03-02T21:14:42.300Z,KXPGATOUR-CCITPB25-JHIG,Other,yes,0.2700,1,0.0038,1,7.396977701543745,MM quote zone spread=2.0¢
Market Maker,2025-03-02T21:23:03.957Z,KXBTCD-25MAR0217-T94249.99,Crypto,yes,0.6400,1,0.0038,1,5.577422408100374,MM quote zone spread=2.0¢
Market Maker,2025-03-02T21:28:42.094Z,KXPGATOUR-CCITPB25-BGRI,Other,yes,0.1700,1,0.0038,1,4.601761391151224,MM quote zone spread=2.0¢
Probability Arb,2025-03-07T00:06:31.587Z,KXBTCD-25MAR0620-T89249.99,Crypto,no,0.0300,1,0.9600,1,94,"Probability arb: YES legs sum > 104%, fade rich leg (94.0pp)"
Probability Arb,2025-03-03T05:04:49.982Z,KXBTCD-25MAR0317-T93249.99,Crypto,no,0.0400,1,0.9500,1,93,"Probability arb: YES legs sum > 104%, fade rich leg (93.0pp)"
Probability Arb,2025-03-03T23:11:06.013Z,KXSPACEXSTARSHIP-8-25MAR03,Other,no,0.0400,1,0.9500,1,93,"Probability arb: YES legs sum > 104%, fade rich leg (93.0pp)"
Probability Arb,2025-03-03T18:02:02.617Z,KXBTCD-25MAR0314-T88499.99,Crypto,no,0.0500,1,0.9400,1,92,"Probability arb: YES legs sum > 104%, fade rich leg (92.0pp)"
Probability Arb,2025-03-06T23:16:53.961Z,KXSECPRESSMENTION-25SEP10-UKRAINE,Other,no,0.0900,1,0.9000,1,88,"Probability arb: YES legs sum > 104%, fade rich leg (88.0pp)"
Probability Arb,2025-03-07T02:17:22.650Z,KXWEIGHTDRUGSQ-1-25-5,Other,no,0.1000,1,0.8900,1,87,"Probability arb: YES legs sum > 104%, fade rich leg (87.0pp)"
Probability Arb,2025-03-06T19:10:52.414Z,KXSECPRESSMENTION-25SEP10-UKRAINE,Other,no,0.1100,1,0.8800,1,86,"Probability arb: YES legs sum > 104%, fade rich leg (86.0pp)"
Probability Arb,2025-03-06T16:08:36.767Z,KXBTCD-25MAR0612-T89749.99,Crypto,no,0.1200,1,0.8700,1,85,"Probability arb: YES legs sum > 104%, fade rich leg (85.0pp)"
